benchmark,n_train,n_test,weight,pca_dim,model,overall_rmse,cliff_rmse,noncliff_rmse,time_s
CHEMBL1862_Ki,633,161,v3,64,TabPFN-MLX,0.7601230045587877,0.789317930065896,0.738609846346042,2.8758420944213867
CHEMBL1862_Ki,633,161,v3,96,TabPFN-MLX,0.7314581876265872,0.7555241198599519,0.7138096985845068,3.276638984680176
CHEMBL1862_Ki,633,161,v3,128,TabPFN-MLX,0.7293686359981038,0.753000812659262,0.7120458326589707,4.175343036651611
CHEMBL1862_Ki,633,161,v3,160,TabPFN-MLX,0.729678006488217,0.7655191153663055,0.7030172053465947,4.922761917114258
CHEMBL1862_Ki,633,161,v3,192,TabPFN-MLX,0.7190318177071048,0.7558596904270982,0.6915861208295266,5.605367183685303
CHEMBL1862_Ki,633,161,v4,64,TabPFN-MLX,0.7501008442792475,0.781068208524483,0.7272238234040996,2.416640043258667
CHEMBL1862_Ki,633,161,v4,96,TabPFN-MLX,0.7198180680095632,0.7401430179314301,0.7049735882052505,3.2626030445098877
CHEMBL1862_Ki,633,161,v4,128,TabPFN-MLX,0.7077303638759364,0.7293795456536256,0.6918861964766266,4.108425855636597
CHEMBL1862_Ki,633,161,v4,160,TabPFN-MLX,0.7003942869295979,0.7400603479831367,0.6706912235721509,4.888347148895264
CHEMBL1862_Ki,633,161,v4,192,TabPFN-MLX,0.699043124002438,0.7284498415130185,0.6773040680662751,5.696131944656372
CHEMBL1862_Ki,633,161,v5,64,TabPFN-MLX,0.7635728230349582,0.7713031797452569,0.7580147306248934,2.413464069366455
CHEMBL1862_Ki,633,161,v5,96,TabPFN-MLX,0.736423354732298,0.7442317316147268,0.7308069354052377,3.2484371662139893
CHEMBL1862_Ki,633,161,v5,128,TabPFN-MLX,0.7133296503064036,0.7350187118250396,0.697458854849512,4.090314149856567
CHEMBL1862_Ki,633,161,v5,160,TabPFN-MLX,0.7060266386293576,0.7344232502771395,0.6850684254294944,4.844617128372192
CHEMBL1862_Ki,633,161,v5,192,TabPFN-MLX,0.7043730785001797,0.7254680881829975,0.688943063674218,5.678110122680664
CHEMBL1862_Ki,633,161,v6,64,TabPFN-MLX,0.7566985762445488,0.7879365119943017,0.7336217385377337,2.4779441356658936
CHEMBL1862_Ki,633,161,v6,96,TabPFN-MLX,0.7208718203227598,0.7364268350587333,0.7095766142300983,3.259320020675659
CHEMBL1862_Ki,633,161,v6,128,TabPFN-MLX,0.7015481220972509,0.7237981486405124,0.685248154986687,4.160392999649048
CHEMBL1862_Ki,633,161,v6,160,TabPFN-MLX,0.706532212645429,0.7418508870577614,0.6802398366677076,4.9083027839660645
CHEMBL1862_Ki,633,161,v6,192,TabPFN-MLX,0.7059105268224966,0.7306586849909038,0.6877275437155842,5.675409317016602
CHEMBL1871_Ki,525,134,v3,64,TabPFN-MLX,0.6428644070139199,0.8970968776152305,0.5389328399849574,2.0619089603424072
CHEMBL1871_Ki,525,134,v3,96,TabPFN-MLX,0.6227878522421995,0.8649613270355796,0.5242437444831216,2.793581962585449
CHEMBL1871_Ki,525,134,v3,128,TabPFN-MLX,0.6196539643062887,0.8629137871026646,0.5204096660443484,3.433238983154297
CHEMBL1871_Ki,525,134,v3,160,TabPFN-MLX,0.6096352974947086,0.8471281454526908,0.5129476743581257,4.131501913070679
CHEMBL1871_Ki,525,134,v3,192,TabPFN-MLX,0.6091563737376278,0.8409725676064308,0.515372127601748,4.628097057342529
CHEMBL1871_Ki,525,134,v4,64,TabPFN-MLX,0.6520516204028738,0.9006772526361984,0.5514146395893876,2.1023011207580566
CHEMBL1871_Ki,525,134,v4,96,TabPFN-MLX,0.6310281675357253,0.8882653952117168,0.5249635172838096,2.7659988403320312
CHEMBL1871_Ki,525,134,v4,128,TabPFN-MLX,0.6172529499745165,0.8751945279370507,0.5101255994763786,3.359143018722534
CHEMBL1871_Ki,525,134,v4,160,TabPFN-MLX,0.6225050959321065,0.8506842467719699,0.5310870369433337,4.100975751876831
CHEMBL1871_Ki,525,134,v4,192,TabPFN-MLX,0.6188517477205169,0.8252995712960471,0.5379988362732252,4.782968997955322
CHEMBL1871_Ki,525,134,v5,64,TabPFN-MLX,0.6458856397386975,0.8931728526937681,0.5456808676853476,2.1477208137512207
CHEMBL1871_Ki,525,134,v5,96,TabPFN-MLX,0.6325013372912236,0.8726165530226672,0.5354222938103359,2.897692918777466
CHEMBL1871_Ki,525,134,v5,128,TabPFN-MLX,0.6357148804784292,0.8739502945455612,0.5397223980724951,3.3852310180664062
CHEMBL1871_Ki,525,134,v5,160,TabPFN-MLX,0.6286850771365725,0.8662923024184866,0.5327327456031917,4.175396203994751
CHEMBL1871_Ki,525,134,v5,192,TabPFN-MLX,0.6238190938717468,0.8575454657598843,0.5296487799701811,4.897544860839844
CHEMBL1871_Ki,525,134,v6,64,TabPFN-MLX,0.6380322254227823,0.8957306263324656,0.5320580451928504,2.1229357719421387
CHEMBL1871_Ki,525,134,v6,96,TabPFN-MLX,0.6332422610313387,0.8924829611767979,0.5262203825728151,2.892645835876465
CHEMBL1871_Ki,525,134,v6,128,TabPFN-MLX,0.6246456810835131,0.8691583867347679,0.5249692510501076,3.503471851348877
CHEMBL1871_Ki,525,134,v6,160,TabPFN-MLX,0.6237712463934393,0.8573670945448919,0.5296653787950559,4.243898153305054
CHEMBL1871_Ki,525,134,v6,192,TabPFN-MLX,0.6186247400208885,0.851537056639051,0.5246628325743143,4.927770137786865
CHEMBL2034_Ki,598,152,v3,64,TabPFN-MLX,0.6801446495407686,0.8469916696172587,0.5745447751368109,2.401937961578369
CHEMBL2034_Ki,598,152,v3,96,TabPFN-MLX,0.6835714282069851,0.8617118620748522,0.5693203905969868,3.355649948120117
CHEMBL2034_Ki,598,152,v3,128,TabPFN-MLX,0.6707153070373281,0.8512902830902229,0.554025469864124,4.23197078704834
CHEMBL2034_Ki,598,152,v3,160,TabPFN-MLX,0.7007915134592688,0.8703065745290668,0.5938181085172127,5.041363954544067
CHEMBL2034_Ki,598,152,v3,192,TabPFN-MLX,0.682938441483533,0.8482830349588437,0.5785773801329284,5.847137212753296
CHEMBL2034_Ki,598,152,v4,64,TabPFN-MLX,0.6826699472538843,0.8581487750422454,0.5704735306492736,2.5085439682006836
CHEMBL2034_Ki,598,152,v4,96,TabPFN-MLX,0.6764626788356233,0.8399419327942593,0.5733178525828895,3.5322039127349854
CHEMBL2034_Ki,598,152,v4,128,TabPFN-MLX,0.6647495530275103,0.8463547378929362,0.5469838170372286,4.38822078704834
CHEMBL2034_Ki,598,152,v4,160,TabPFN-MLX,0.6909507069733777,0.868378208383454,0.5775340384818575,5.2596518993377686
CHEMBL2034_Ki,598,152,v4,192,TabPFN-MLX,0.686111804305004,0.8428909025404832,0.5883003150717984,6.247023105621338
CHEMBL2034_Ki,598,152,v5,64,TabPFN-MLX,0.670647120150955,0.8391068885470458,0.5634842315099056,2.775897741317749
CHEMBL2034_Ki,598,152,v5,96,TabPFN-MLX,0.6686141482185928,0.8304359293182326,0.5664836962139086,3.810966730117798
CHEMBL2034_Ki,598,152,v5,128,TabPFN-MLX,0.6717397642431199,0.8479219011587271,0.5585793980175225,4.605402708053589
CHEMBL2034_Ki,598,152,v5,160,TabPFN-MLX,0.6951613315457424,0.8571353511822254,0.593721113004188,5.6018078327178955
CHEMBL2034_Ki,598,152,v5,192,TabPFN-MLX,0.6878003201409338,0.8430200174066035,0.5911939968256661,6.510324001312256
CHEMBL2034_Ki,598,152,v6,64,TabPFN-MLX,0.6689776113467362,0.8548947503186969,0.5479121591167431,2.8884201049804688
CHEMBL2034_Ki,598,152,v6,96,TabPFN-MLX,0.6833359804528609,0.8495328320630056,0.5783371922568531,3.9449119567871094
CHEMBL2034_Ki,598,152,v6,128,TabPFN-MLX,0.6852769456121371,0.8647238988628962,0.5700615369890877,4.849084854125977
CHEMBL2034_Ki,598,152,v6,160,TabPFN-MLX,0.6946992419954082,0.859136860537349,0.5913901363379754,5.813744783401489
CHEMBL2034_Ki,598,152,v6,192,TabPFN-MLX,0.6954747985700233,0.8785470186003715,0.5777907823078249,6.860990047454834
CHEMBL2047_EC50,503,128,v3,64,TabPFN-MLX,0.6407514772937666,0.6834348875465924,0.6118261484160513,2.384397029876709
CHEMBL2047_EC50,503,128,v3,96,TabPFN-MLX,0.6310057337435431,0.6857342803507892,0.5932738503051667,3.441329002380371
CHEMBL2047_EC50,503,128,v3,128,TabPFN-MLX,0.6281605914456309,0.66037717203725,0.606609672351172,4.184727907180786
CHEMBL2047_EC50,503,128,v3,160,TabPFN-MLX,0.6182973998117351,0.6605111020517437,0.5896499517521806,4.966859817504883
CHEMBL2047_EC50,503,128,v3,192,TabPFN-MLX,0.6173241862308726,0.6631888533040868,0.5860388096010729,5.755859136581421
CHEMBL2047_EC50,503,128,v4,64,TabPFN-MLX,0.6511194538693869,0.6854420117114703,0.6281321719694862,2.503793716430664
CHEMBL2047_EC50,503,128,v4,96,TabPFN-MLX,0.6294738861557728,0.6639733647381694,0.6063272112414446,3.3907558917999268
CHEMBL2047_EC50,503,128,v4,128,TabPFN-MLX,0.6142095841000679,0.6320773198674248,0.602477282258057,4.331897258758545
CHEMBL2047_EC50,503,128,v4,160,TabPFN-MLX,0.6042311787418281,0.6259032398433182,0.5899201905695445,5.020614862442017
CHEMBL2047_EC50,503,128,v4,192,TabPFN-MLX,0.6080990662489655,0.6430083576670749,0.5846259633909276,5.759426116943359
CHEMBL2047_EC50,503,128,v5,64,TabPFN-MLX,0.638964198230369,0.6772789428049263,0.6131454365986406,2.4495151042938232
CHEMBL2047_EC50,503,128,v5,96,TabPFN-MLX,0.6205466397883058,0.6575950961003799,0.5955867466045716,3.3888938426971436
CHEMBL2047_EC50,503,128,v5,128,TabPFN-MLX,0.5999795721470771,0.6129198406542714,0.591535655368263,4.1433210372924805
CHEMBL2047_EC50,503,128,v5,160,TabPFN-MLX,0.6171326190353762,0.6294257346409616,0.6091219547821084,4.917889833450317
CHEMBL2047_EC50,503,128,v5,192,TabPFN-MLX,0.6092956931519348,0.65415900756418,0.5787107232692398,5.683531999588013
CHEMBL2047_EC50,503,128,v6,64,TabPFN-MLX,0.6514417385463735,0.6811726009952611,0.6316478514154737,2.443079948425293
CHEMBL2047_EC50,503,128,v6,96,TabPFN-MLX,0.62921893005899,0.6626992088088652,0.6067863156767864,3.3872950077056885
CHEMBL2047_EC50,503,128,v6,128,TabPFN-MLX,0.6138524839295215,0.6331546470727611,0.6011533956184804,4.087234020233154
CHEMBL2047_EC50,503,128,v6,160,TabPFN-MLX,0.5999021033054164,0.6270918648056001,0.5818048587321465,5.397349834442139
CHEMBL2047_EC50,503,128,v6,192,TabPFN-MLX,0.6299451220543575,0.6612651247411271,0.609021597869191,5.741142988204956
CHEMBL204_Ki,2201,553,v3,64,TabPFN-MLX,0.7209573519602179,0.8903490944194146,0.5826298240751631,15.015169143676758
CHEMBL204_Ki,2201,553,v3,96,TabPFN-MLX,0.713598782743177,0.8809738930569709,0.5769733867044694,20.932290077209473
CHEMBL204_Ki,2201,553,v3,128,TabPFN-MLX,0.7096379317959418,0.8829716564286568,0.5667527552968052,26.349976062774658
CHEMBL204_Ki,2201,553,v3,160,TabPFN-MLX,0.7142152785586339,0.8916512649905356,0.5673233500064354,30.74961280822754
CHEMBL204_Ki,2201,553,v3,192,TabPFN-MLX,0.7184415238223363,0.8932973355601037,0.5744296873705036,37.309789180755615
CHEMBL204_Ki,2201,553,v4,64,TabPFN-MLX,0.7178611649859441,0.8869236444704572,0.579725395876444,14.157697916030884
CHEMBL204_Ki,2201,553,v4,96,TabPFN-MLX,0.7229824670166805,0.8918245836749666,0.5853001243232062,19.212152242660522
CHEMBL204_Ki,2201,553,v4,128,TabPFN-MLX,0.7156295626299137,0.8922657493041446,0.5696401421328059,25.226550102233887
CHEMBL204_Ki,2201,553,v4,160,TabPFN-MLX,0.7090102682298207,0.8912459099717209,0.5568044321064652,30.3381450176239
CHEMBL204_Ki,2201,553,v4,192,TabPFN-MLX,0.7140136651967363,0.8849327485346082,0.5738146131780114,37.16948413848877
CHEMBL204_Ki,2201,553,v5,64,TabPFN-MLX,0.7292663142825239,0.901981000110193,0.58795801834665,13.729013919830322
CHEMBL204_Ki,2201,553,v5,96,TabPFN-MLX,0.7152715768102923,0.8937731199675348,0.5673275262419267,19.581418991088867
CHEMBL204_Ki,2201,553,v5,128,TabPFN-MLX,0.7144809490143993,0.8975867514270879,0.5616670375147349,25.96898102760315
CHEMBL204_Ki,2201,553,v5,160,TabPFN-MLX,0.718674282563833,0.9032810182015175,0.5645132593771955,31.808852195739746
CHEMBL204_Ki,2201,553,v5,192,TabPFN-MLX,0.7227750113562419,0.8991916311037494,0.5773742543835315,38.43096590042114
CHEMBL204_Ki,2201,553,v6,64,TabPFN-MLX,0.7246488164567926,0.9041044553692714,0.5762049261408888,14.19486117362976
CHEMBL204_Ki,2201,553,v6,96,TabPFN-MLX,0.720473999983837,0.9016223352102789,0.5700476044301286,20.63143825531006
CHEMBL204_Ki,2201,553,v6,128,TabPFN-MLX,0.7146198776806194,0.8967048855853192,0.5628899441251005,26.479794025421143
CHEMBL204_Ki,2201,553,v6,160,TabPFN-MLX,0.7153245320106052,0.8952068459582266,0.565943219573568,31.70557689666748
CHEMBL204_Ki,2201,553,v6,192,TabPFN-MLX,0.7144753178924181,0.8799291465151969,0.5798211090264579,37.582744121551514
CHEMBL2147_Ki,1162,294,v3,64,TabPFN-MLX,0.5397321991558152,0.581827780982371,0.510434088766452,5.964972972869873
CHEMBL2147_Ki,1162,294,v3,96,TabPFN-MLX,0.5308599161870919,0.5765845938070256,0.4988111279488695,8.554802894592285
CHEMBL2147_Ki,1162,294,v3,128,TabPFN-MLX,0.5425273006355448,0.5808234516007403,0.5160429445553008,10.927849054336548
CHEMBL2147_Ki,1162,294,v3,160,TabPFN-MLX,0.5396453912561336,0.5744159645274767,0.5157258195279839,13.54787802696228
CHEMBL2147_Ki,1162,294,v3,192,TabPFN-MLX,0.5354192602587073,0.5787984945936075,0.5051486940346829,16.325140953063965
CHEMBL2147_Ki,1162,294,v4,64,TabPFN-MLX,0.5373650237206903,0.5852323485168643,0.5037284359919219,6.193674802780151
CHEMBL2147_Ki,1162,294,v4,96,TabPFN-MLX,0.5311393061484512,0.5803050615186234,0.49648523278091006,8.713635206222534
CHEMBL2147_Ki,1162,294,v4,128,TabPFN-MLX,0.5420161611392756,0.5823023631888273,0.5140659575650428,11.272045135498047
CHEMBL2147_Ki,1162,294,v4,160,TabPFN-MLX,0.5325556026675112,0.5882888155142959,0.49285478619738676,13.424493074417114
CHEMBL2147_Ki,1162,294,v4,192,TabPFN-MLX,0.5420022774521814,0.6017520903030814,0.4992302094817316,16.10472297668457
CHEMBL2147_Ki,1162,294,v5,64,TabPFN-MLX,0.5424166829870146,0.6076620185325174,0.4952930536875164,5.912766933441162
CHEMBL2147_Ki,1162,294,v5,96,TabPFN-MLX,0.5339998992248326,0.5985610196996577,0.487344896878394,8.662242889404297
CHEMBL2147_Ki,1162,294,v5,128,TabPFN-MLX,0.5349281548897079,0.5954695697139162,0.4914768325986109,11.224409818649292
CHEMBL2147_Ki,1162,294,v5,160,TabPFN-MLX,0.5342528242572969,0.594647507197275,0.4909118439486,13.531100988388062
CHEMBL2147_Ki,1162,294,v5,192,TabPFN-MLX,0.5325158409216042,0.6061860542394182,0.4784394184076579,16.579111099243164
CHEMBL2147_Ki,1162,294,v6,64,TabPFN-MLX,0.5370416217032157,0.5967396208136578,0.4942718602991506,6.051605939865112
CHEMBL2147_Ki,1162,294,v6,96,TabPFN-MLX,0.5269638388458661,0.5764028054080411,0.4920791930665929,8.323909044265747
CHEMBL2147_Ki,1162,294,v6,128,TabPFN-MLX,0.5327238786667237,0.5758219545383796,0.5026526715948995,11.175477027893066
CHEMBL2147_Ki,1162,294,v6,160,TabPFN-MLX,0.5335144140375303,0.585456574483672,0.4967499845607469,13.408310651779175
CHEMBL2147_Ki,1162,294,v6,192,TabPFN-MLX,0.5290697180429665,0.5820830917312386,0.49145354693762183,16.285902976989746
CHEMBL214_Ki,2651,666,v3,64,TabPFN-MLX,0.6656494700272475,0.8098296887698547,0.5650563168520203,18.181524991989136
CHEMBL214_Ki,2651,666,v3,96,TabPFN-MLX,0.6481293325178226,0.7971591069015039,0.5428861102329412,26.824202060699463
CHEMBL214_Ki,2651,666,v3,128,TabPFN-MLX,0.6381040609662444,0.7923481584568112,0.5279930073950582,33.94960284233093
CHEMBL214_Ki,2651,666,v3,160,TabPFN-MLX,0.6360746531008147,0.7848600521593164,0.5306212406901447,42.49742388725281
CHEMBL214_Ki,2651,666,v3,192,TabPFN-MLX,0.6373722023117929,0.7821750885866123,0.5353703035945321,51.37778997421265
CHEMBL214_Ki,2651,666,v4,64,TabPFN-MLX,0.6657465282053138,0.812984322203198,0.562595571240278,20.446073055267334
CHEMBL214_Ki,2651,666,v4,96,TabPFN-MLX,0.6530769932821937,0.8065903026780117,0.5441576887249843,921.7299902439117
CHEMBL214_Ki,2651,666,v4,128,TabPFN-MLX,0.6454308445183686,0.8003219031362812,0.5350355583032161,926.0513432025909
CHEMBL214_Ki,2651,666,v4,160,TabPFN-MLX,0.6440620795502602,0.7957064718888636,0.5364304569248256,30.82422685623169
CHEMBL214_Ki,2651,666,v4,192,TabPFN-MLX,0.6483985705352266,0.7975883283101652,0.5430278334272224,937.423416852951
CHEMBL214_Ki,2651,666,v5,64,TabPFN-MLX,0.6649490048997764,0.8048708808605127,0.5678678399318324,13.93230414390564
CHEMBL214_Ki,2651,666,v5,96,TabPFN-MLX,0.6460419261586999,0.7913310987785925,0.5439111229717433,728.267648935318
CHEMBL214_Ki,2651,666,v5,128,TabPFN-MLX,0.6408185201362302,0.78799449290854,0.5369100027253497,26.876838207244873
CHEMBL214_Ki,2651,666,v5,160,TabPFN-MLX,0.6350179786840315,0.7802337521808095,0.5325858487070956,34.46191692352295
CHEMBL214_Ki,2651,666,v5,192,TabPFN-MLX,0.6376960836175108,0.7804947063112568,0.5374037057539414,39.82370471954346
CHEMBL214_Ki,2651,666,v6,64,TabPFN-MLX,0.6668169676709426,0.8071394664075887,0.569456843367814,14.49140214920044
CHEMBL214_Ki,2651,666,v6,96,TabPFN-MLX,0.6481199980922582,0.793494327548928,0.5459840055767448,20.657708883285522
CHEMBL214_Ki,2651,666,v6,128,TabPFN-MLX,0.6396620188428757,0.783288318443099,0.538732842528413,28.186203241348267
CHEMBL214_Ki,2651,666,v6,160,TabPFN-MLX,0.6418637185744327,0.7815746395811011,0.5442951111801214,33.20755195617676
CHEMBL214_Ki,2651,666,v6,192,TabPFN-MLX,0.6441361574627612,0.7873327350091989,0.5437121619290172,41.73652720451355
CHEMBL218_EC50,823,208,v3,64,TabPFN-MLX,0.6830642611417808,0.7288640802252687,0.6552440790231254,3.483513832092285
CHEMBL218_EC50,823,208,v3,96,TabPFN-MLX,0.6990374537872294,0.7424464526920789,0.6727749762943586,4.91368293762207
CHEMBL218_EC50,823,208,v3,128,TabPFN-MLX,0.7084275678519786,0.7371950990189006,0.6913216749285481,6.479805946350098
CHEMBL218_EC50,823,208,v3,160,TabPFN-MLX,0.7095493976126224,0.7362159623339765,0.6937311169915492,8.056006908416748
CHEMBL218_EC50,823,208,v3,192,TabPFN-MLX,0.7172936736991105,0.7363769353175144,0.7060724364354204,9.215219974517822
CHEMBL218_EC50,823,208,v4,64,TabPFN-MLX,0.6895760056566369,0.7232365932758176,0.6694283627807227,3.7963449954986572
CHEMBL218_EC50,823,208,v4,96,TabPFN-MLX,0.709510502918296,0.7437591375863524,0.6890197775262527,5.051830053329468
CHEMBL218_EC50,823,208,v4,128,TabPFN-MLX,0.7136727836782666,0.7490738475005297,0.6924698832742048,6.605466842651367
CHEMBL218_EC50,823,208,v4,160,TabPFN-MLX,0.7152383684414559,0.7451470245346972,0.6974366563316211,8.05975866317749
